id,label
TEST_00000,Red-Wattled Lapwing
TEST_00001,House Crow
TEST_00002,Common Tailorbird
TEST_00003,Hoopoe
TEST_00004,Common Kingfisher
TEST_00005,Jungle Babbler
TEST_00006,Ruddy Shelduck
TEST_00007,Rufous Treepie
TEST_00008,Common Tailorbird
TEST_00009,Jungle Babbler
TEST_00010,Ruddy Shelduck
TEST_00011,Ruddy Shelduck
TEST_00012,Common Tailorbird
TEST_00013,Hoopoe
TEST_00014,Ruddy Shelduck
TEST_00015,Forest Wagtail
TEST_00016,Sarus Crane
TEST_00017,Hoopoe
TEST_00018,Indian Grey Hornbill
TEST_00019,Sarus Crane
TEST_00020,Common Tailorbird
TEST_00021,Common Kingfisher
TEST_00022,Asian Green Bee-Eater
TEST_00023,Ruddy Shelduck
TEST_00024,Sarus Crane
TEST_00025,Ruddy Shelduck
TEST_00026,Common Tailorbird
TEST_00027,Common Rosefinch
TEST_00028,Indian Grey Hornbill
TEST_00029,Ruddy Shelduck
TEST_00030,Indian Grey Hornbill
TEST_00031,Indian Peacock
TEST_00032,Common Tailorbird
TEST_00033,Common Myna
TEST_00034,Common Rosefinch
TEST_00035,Common Tailorbird
TEST_00036,Indian Grey Hornbill
TEST_00037,Ruddy Shelduck
TEST_00038,Common Myna
TEST_00039,Ruddy Shelduck
TEST_00040,House Crow
TEST_00041,Ruddy Shelduck
TEST_00042,Hoopoe
TEST_00043,Ruddy Shelduck
TEST_00044,Common Tailorbird
TEST_00045,Ruddy Shelduck
TEST_00046,Cattle Egret
TEST_00047,Common Myna
TEST_00048,Common Rosefinch
TEST_00049,Indian Grey Hornbill
TEST_00050,Common Tailorbird
TEST_00051,Ruddy Shelduck
TEST_00052,Indian Grey Hornbill
TEST_00053,White-Breasted Kingfisher
TEST_00054,Ruddy Shelduck
TEST_00055,Common Tailorbird
TEST_00056,Brown-Headed Barbet
TEST_00057,Cattle Egret
TEST_00058,Red-Wattled Lapwing
TEST_00059,Common Tailorbird
TEST_00060,Hoopoe
TEST_00061,Brown-Headed Barbet
TEST_00062,Common Tailorbird
TEST_00063,Ruddy Shelduck
TEST_00064,Indian Peacock
TEST_00065,Ruddy Shelduck
TEST_00066,Brown-Headed Barbet
TEST_00067,Sarus Crane
TEST_00068,Common Tailorbird
TEST_00069,Common Tailorbird
TEST_00070,Common Tailorbird
TEST_00071,Common Tailorbird
TEST_00072,Brown-Headed Barbet
TEST_00073,Common Tailorbird
TEST_00074,Red-Wattled Lapwing
TEST_00075,Asian Green Bee-Eater
TEST_00076,Common Rosefinch
TEST_00077,Ruddy Shelduck
TEST_00078,Brown-Headed Barbet
TEST_00079,Indian Peacock
TEST_00080,Common Myna
TEST_00081,Indian Grey Hornbill
TEST_00082,Common Tailorbird
TEST_00083,Common Rosefinch
TEST_00084,Red-Wattled Lapwing
TEST_00085,Brown-Headed Barbet
TEST_00086,Jungle Babbler
TEST_00087,Brown-Headed Barbet
TEST_00088,Brown-Headed Barbet
TEST_00089,Common Myna
TEST_00090,Common Kingfisher
TEST_00091,Common Rosefinch
TEST_00092,Indian Grey Hornbill
TEST_00093,White Wagtail
TEST_00094,Ruddy Shelduck
TEST_00095,Ruddy Shelduck
TEST_00096,Common Rosefinch
TEST_00097,Common Tailorbird
TEST_00098,Ruddy Shelduck
TEST_00099,Common Tailorbird
TEST_00100,Forest Wagtail
TEST_00101,Ruddy Shelduck
TEST_00102,Brown-Headed Barbet
TEST_00103,Red-Wattled Lapwing
TEST_00104,Common Kingfisher
TEST_00105,Hoopoe
TEST_00106,Common Myna
TEST_00107,Jungle Babbler
TEST_00108,Indian Pitta
TEST_00109,Common Rosefinch
TEST_00110,Coppersmith Barbet
TEST_00111,Common Tailorbird
TEST_00112,Common Tailorbird
TEST_00113,Ruddy Shelduck
TEST_00114,Common Rosefinch
TEST_00115,Indian Grey Hornbill
TEST_00116,Indian Peacock
TEST_00117,Common Tailorbird
TEST_00118,White-Breasted Waterhen
TEST_00119,Common Rosefinch
TEST_00120,Common Kingfisher
TEST_00121,Ruddy Shelduck
TEST_00122,Common Rosefinch
TEST_00123,Common Kingfisher
TEST_00124,Common Rosefinch
TEST_00125,Jungle Babbler
TEST_00126,House Crow
TEST_00127,Common Tailorbird
TEST_00128,Common Tailorbird
TEST_00129,Ruddy Shelduck
TEST_00130,Common Tailorbird
TEST_00131,Brown-Headed Barbet
TEST_00132,Jungle Babbler
TEST_00133,Common Tailorbird
TEST_00134,Common Rosefinch
TEST_00135,Common Kingfisher
TEST_00136,Common Rosefinch
TEST_00137,Indian Peacock
TEST_00138,Common Tailorbird
TEST_00139,Hoopoe
TEST_00140,Common Myna
TEST_00141,White-Breasted Waterhen
TEST_00142,House Crow
TEST_00143,Common Rosefinch
TEST_00144,Cattle Egret
TEST_00145,Cattle Egret
TEST_00146,Ruddy Shelduck
TEST_00147,Common Tailorbird
TEST_00148,Indian Grey Hornbill
TEST_00149,Common Tailorbird
TEST_00150,Sarus Crane
TEST_00151,Red-Wattled Lapwing
TEST_00152,Ruddy Shelduck
TEST_00153,Cattle Egret
TEST_00154,Ruddy Shelduck
TEST_00155,Jungle Babbler
TEST_00156,Common Tailorbird
TEST_00157,Ruddy Shelduck
TEST_00158,Indian Grey Hornbill
TEST_00159,Common Tailorbird
TEST_00160,White-Breasted Waterhen
TEST_00161,Common Tailorbird
TEST_00162,Coppersmith Barbet
TEST_00163,Common Kingfisher
TEST_00164,Common Tailorbird
TEST_00165,Cattle Egret
TEST_00166,Common Kingfisher
TEST_00167,Cattle Egret
TEST_00168,Indian Grey Hornbill
TEST_00169,Ruddy Shelduck
TEST_00170,Ruddy Shelduck
TEST_00171,Indian Peacock
TEST_00172,Common Myna
TEST_00173,Ruddy Shelduck
TEST_00174,Ruddy Shelduck
